80,-6,-10,105,-77,-19,64,110,88
-98,-78,46,108,-66,-3,80,84,-20
-92,94,126,-69,62,90,122,-120,-60
-100,2,-50,-106,59,110,-112,-60,-54
-80,-90,-112,-46,37,12,64,90,108
76,-4,44,-12,-10,26,38,90,-68
42,-108,14,124,36,44,58,-94,102
-8,62,94,121,50,32,88,-78,100
-34,-84,0,20,-82,8,-80,-72,116
-8,2,2,9,-53,8,-92,-108,106
-58,82,20,94,91,51,-6,-66,34
110,-80,66,116,92,59,76,-106,-94
44,36,36,-119,16,6,-70,94,-124
28,20,18,101,38,-26,-78,-110,-60
-2,-96,-48,107,111,-100,-12,118,-22
-82,-128,-6,-120,98,-119,124,-40,124
4,36,-120,-70,87,29,-18,104,-96
-114,-4,-18,-75,88,18,-48,116,-124
-102,20,-54,28,102,18,4,-60,-2
64,108,38,-8,100,27,126,-116,68
114,14,-76,96,-7,-107,106,66,100
-80,-34,-82,113,20,-98,8,64,52
38,20,-78,-99,-117,-97,-110,-84,66
-86,-54,-10,11,-77,-94,-118,-104,106
-122,-16,50,70,-12,13,-2,32,42
2,-18,106,58,-11,-34,-48,106,36
116,60,-54,109,-92,57,-82,24,108
-90,64,-106,66,-114,18,-116,-92,110
100,-40,54,110,-23,-40,-122,-124,-106
-74,-8,70,83,5,-67,-116,-126,86
-52,-114,74,125,9,-106,72,64,4
-78,126,104,-114,1,-112,-64,-92,38
30,-80,88,-95,104,-66,76,-28,-40
62,-76,116,-89,72,-49,-90,48,124
-30,96,-6,-100,84,-43,-88,98,-4
-42,-126,76,-51,104,-20,-66,-32,104
-44,-38,-36,-88,-128,-111,0,66,16
-32,4,-120,-53,111,-82,-44,-58,30
88,-44,-52,-23,-122,105,24,-72,104
-110,20,-10,-21,-121,88,54,114,10
-116,-66,-60,85,-103,-10,76,-86,-56
66,116,-34,102,-113,-24,-114,-102,-90
-102,92,18,22,102,79,40,118,-122
6,-92,-74,24,104,64,-44,-90,-46
108,-62,40,84,52,-110,108,122,30
-18,-78,-72,76,33,124,46,-54,68
40,24,54,-45,117,65,114,-48,-86
94,-2,-84,-74,107,71,-42,-2,112
-68,96,94,62,57,-97,118,-38,-34
-28,52,-22,85,50,-92,-72,20,76
-24,-38,52,-32,-64,-14,56,24,82
4,-30,-46,-57,-92,-12,104,34,48
-24,-4,42,103,-37,-38,50,66,126
-86,-42,-54,83,-42,-34,78,4,-90
-84,-40,-70,-26,-78,-125,94,112,-72
-120,-74,6,-35,-86,125,6,-76,98
60,106,-86,116,-104,-118,-92,20,-96
-62,18,4,117,-57,-116,124,-100,96
-92,80,-84,-64,-109,-115,108,-96,-76
122,-26,-118,-13,127,-114,80,110,-88
22,28,-12,25,104,14,70,58,6
-96,26,-74,28,71,29,66,36,-66
30,110,74,-4,-13,-67,-88,-22,-50
-84,-18,-14,3,-26,-93,-44,-32,-92
8,-64,80,-55,56,4,-92,-12,-72
78,96,32,-8,-81,-19,54,2,-36
-8,78,84,-1,-28,-51,-48,26,28
18,-72,-100,22,-42,-48,-70,20,-30
-12,-64,-122,120,-117,91,-122,8,-60
88,46,42,109,117,116,98,60,-72
-60,-110,-46,15,-117,88,-74,60,-114
-102,-104,-20,3,-97,103,-76,40,-20
-64,-50,16,88,-20,34,-14,0,-62
-6,-68,80,86,17,44,116,-74,-76
92,-44,-122,112,-118,79,-96,-114,106
66,8,-44,108,124,104,54,-54,104
46,96,116,-73,78,48,44,-34,62
38,-80,-4,-87,70,70,-52,-50,92
-124,-20,82,-42,14,-21,68,-124,60
-58,12,-82,-16,29,9,120,-88,38
102,26,-48,-121,83,-3,124,-128,2
92,-60,-84,-124,95,27,2,-100,-94
26,-92,-126,84,-98,107,-92,-66,124
12,68,38,49,-75,97,94,-50,8
80,-28,-124,-31,-124,95,-124,-52,120
-128,-66,-116,-76,89,61,72,122,-64
-36,-2,-36,-57,-44,-8,68,94,-4
32,-30,42,-43,-71,-20,78,6,78
-96,96,-6,-34,-53,-34,-72,-110,-100
-126,-120,-38,-79,-29,-79,90,32,-114
-112,100,-72,-59,20,-84,-60,-56,-108
-86,-20,-34,-121,4,-57,-84,26,-36
126,76,100,110,-113,45,-36,72,-20
84,104,92,-10,-8,57,-62,116,-64
-38,-118,-2,-68,68,60,112,84,-8
24,-26,-66,-66,-48,43,64,-102,100
8,96,-118,-16,-42,-17,-104,-50,34
32,80,66,87,2,78,102,74,10
-82,-74,44,62,-116,-91,112,-76,-86
-96,70,106,-96,105,-78,-110,-122,110
-16,8,86,-76,18,-127,-70,126,-46
118,16,110,-94,8,124,102,78,36
110,-102,-54,-6,125,-74,118,-124,-72
-76,-38,52,27,112,-58,-50,-98,84
18,-96,-32,-90,-122,-89,102,92,46
48,112,-26,-109,-103,-63,50,-80,122
82,-78,104,-58,-103,-77,86,60,-34
90,76,62,-35,-112,-59,108,6,20
58,-46,-8,-114,5,72,-90,-94,-54
-122,120,82,-117,-9,82,14,6,106
-98,-108,-28,-8,37,95,-84,102,82
-54,116,78,-35,37,94,-68,-22,-28
-20,-44,70,-5,65,73,8,104,-98
30,-34,34,-1,79,76,-46,-94,-20
22,0,120,58,-84,71,-108,-80,70
-10,-70,26,45,-66,69,-106,-94,114
54,46,92,44,-52,89,-92,-44,-30
60,-128,116,45,-48,81,-64,-86,-64
-116,-104,-4,23,26,-125,68,118,-56
2,88,-4,26,42,122,50,-126,-86
22,-102,-126,12,-112,74,28,54,-90
10,122,118,-3,-112,67,12,-2,32
94,-76,54,-21,47,12,12,-32,-68
60,-12,-30,-56,70,-3,-6,8,-56
118,-4,-20,-61,16,93,102,-56,24
86,50,122,-82,55,101,-106,-36,-54
120,120,62,106,-53,-50,54,-100,102
-42,124,-36,-123,-50,-32,88,-76,92
-8,6,74,-65,-30,-122,52,-18,-114
-80,-28,116,-66,-19,-125,62,76,-78
-68,-60,-54,-1,37,-45,-12,-2,112
-26,-102,-22,16,38,-38,-18,118,66
64,22,122,87,-80,-40,0,-18,-102
82,52,34,85,-104,-39,70,124,28
22,106,38,11,-41,9,6,-124,-34
84,114,76,7,-28,15,-96,-128,118
14,-76,4,-22,61,-11,-76,124,-110
-54,-96,8,-44,93,6,2,24,6
-24,-128,-64,-46,-68,59,54,-72,-10
-126,-8,-56,-46,-46,53,0,110,-112
-104,14,-28,-75,8,-57,82,118,-34
-120,110,-84,-83,43,-69,-124,-10,54
104,0,116,-76,-68,-85,-60,-112,26
-98,-44,80,-61,-117,-100,38,50,-44
-42,124,52,-56,44,-84,50,12,30
82,-82,-38,-53,82,-100,116,-64,4
32,-128,-16,54,40,-83,-80,74,-8
76,72,-118,86,20,-73,80,56,20
-90,124,-66,-125,45,57,26,96,98
-106,-26,12,-104,47,59,-74,102,-54
-86,-88,-50,-120,-40,56,40,-46,38
18,-18,-94,111,-5,55,-128,14,10
98,-124,100,88,-15,43,-76,-80,-22
90,-82,-42,72,-34,53,-4,68,-90
-116,-70,98,-63,-124,-38,22,70,-86
32,-100,-72,-62,-111,-17,110,72,102
20,6,116,-101,99,80,126,82,36
-108,124,-40,105,25,79,-114,60,30
-40,-60,-64,92,52,-27,66,10,-50
-22,46,-114,44,88,-15,-110,64,118
56,20,-84,-74,19,-40,2,86,32
110,-58,100,-20,17,-17,8,54,-86
96,56,114,25,123,-12,-110,-42,-124
110,78,-24,25,-98,-9,122,54,12
104,-112,38,-77,55,3,-76,-50,84
54,54,-110,-99,39,-6,-108,34,72
-14,98,-120,0,82,45,-50,6,14
-6,-38,-84,-56,42,58,2,90,118
34,-28,90,6,-109,112,-116,-50,-118
52,-50,-128,14,125,-117,-78,-40,-126
-30,-76,-4,-23,-61,58,30,-120,0
76,46,-34,7,-72,52,-52,60,58
-40,-10,54,7,104,63,-86,12,28
86,-66,-96,22,108,54,78,24,56
122,116,34,87,-80,102,120,18,16
108,-80,42,83,-91,119,-54,-32,126
-128,14,-52,-67,-122,-50,64,-116,-70
92,-102,-52,-87,111,-45,94,-16,80
104,-96,32,63,30,11,118,110,-6
-54,-50,98,62,49,26,112,-44,124
-84,100,-96,83,-26,-124,108,14,76
-128,-68,24,89,0,106,114,86,96
4,100,70,84,-88,-39,38,78,-120
-16,90,102,65,-109,-61,66,82,14
-90,12,-84,-120,12,-22,90,106,18
22,14,-50,121,31,-55,62,90,-116
32,-108,-112,-63,-29,30,40,54,-70
-10,76,-40,-42,-23,8,94,-30,-48
46,28,10,101,-61,31,102,-102,34
-16,68,42,122,-64,2,-62,8,-84
-42,-54,-116,-126,5,17,-20,-86,-44
8,-80,-124,106,-21,5,120,78,-74
74,120,4,113,22,108,-108,-96,-30
66,-82,102,-115,15,102,106,110,-36
-70,120,38,10,19,-18,-66,56,-94
12,-90,-64,-28,11,-47,-100,-96,-90
-8,-108,-56,2,31,81,-102,-106,26
-18,104,-96,47,-56,78,28,-62,42
-102,-110,-104,-24,-41,57,-32,16,84
66,-28,-116,-46,-39,57,110,-6,-34
70,2,-68,34,2,92,74,18,-86
60,-78,-28,66,24,100,88,118,-16
-84,-122,94,85,-7,50,42,28,-18
78,94,-6,-95,0,40,4,-42,-120
122,40,-24,-35,-59,-116,68,116,-100
68,-106,28,-69,-54,-121,-70,8,28
122,32,-40,-113,86,-66,-32,82,-58
84,-2,-56,-106,88,-88,-80,-28,-2
120,-124,58,-57,-61,-81,-48,-12,6
-46,112,30,-59,-80,-89,40,-108,2
-104,-90,34,59,-8,102,106,-108,104
-2,54,110,59,-10,94,112,32,-6
8,-72,34,17,-6,111,-24,92,-82
-32,-2,-100,12,-11,123,-24,66,-12
26,-110,-28,90,3,-104,-54,34,-42
-72,86,78,91,8,-106,-122,22,40
72,84,16,15,-51,104,-54,28,44
-48,18,76,2,-11,106,-22,-28,80
-58,112,-90,92,43,-101,-78,26,-12
-8,72,-104,79,70,-100,24,46,66
92,-52,-24,36,-66,-85,-30,-42,114
-12,14,-30,9,-65,-95,-30,-56,-18
-74,-8,14,31,27,-8,122,-90,-16
-68,12,50,19,8,-27,98,-128,8
-52,-56,-28,90,-3,-118,62,40,68
-46,-54,-62,110,-9,-109,56,124,84
-26,80,-28,-111,51,-48,38,10,90
-118,84,-38,-119,66,-40,100,84,-116
-50,68,64,-83,73,-83,-60,56,48
-12,84,92,-109,102,-76,-60,-68,66
-112,-12,-90,10,54,77,-122,-50,112
-120,58,-10,3,72,61,-92,-52,12
70,66,-106,25,93,-49,78,90,56
110,48,-52,35,99,-48,36,-86,36
-98,8,-58,-94,-53,48,96,-72,-52
62,108,-56,-79,-64,64,96,-38,-10
54,-8,98,88,-1,-110,72,36,80
110,40,14,43,10,-106,68,-10,2
-94,40,72,127,15,-26,-26,90,36
110,-34,76,126,36,-9,-20,74,-74
-112,28,6,-55,-112,38,0,-70,60
-126,-68,0,-40,-108,29,16,-24,-98
-8,-12,-44,-92,-80,13,-80,-126,100
