squatturnclap,-11544,-11980,-300,-966,-166,2610,9504,12304,-4880
squatturnclap,-11744,-11980,-452,-898,-218,2703,9356,12152,-4608
squatturnclap,-11744,-11980,-452,-898,-218,2703,9356,12152,-4608
squatturnclap,-11876,-11916,-564,-875,-194,3016,9304,11696,-4340
squatturnclap,-12100,-11748,-368,-855,-144,3106,9512,11488,-3868
squatturnclap,-12116,-11668,-392,-811,-112,3220,9268,11480,-3756
squatturnclap,-12116,-11668,-392,-811,-112,3220,9268,11480,-3756
squatturnclap,-12176,-11540,-264,-793,-94,3393,9064,11432,-3324
squatturnclap,-12168,-11440,-520,-748,-106,3471,9228,11496,-3048
squatturnclap,-12128,-11232,-488,-732,-114,3545,9136,11532,-3060
squatturnclap,-12264,-11080,-448,-733,-168,3594,9464,11564,-2936
squatturnclap,-12264,-11080,-448,-733,-168,3594,9464,11564,-2936
squatturnclap,-12156,-10904,-528,-779,-363,3681,9884,11956,-3172
squatturnclap,-12144,-10780,-656,-823,-406,3706,10020,12084,-3176
squatturnclap,-12168,-10740,-624,-833,-497,3732,10236,12096,-3064
squatturnclap,-12264,-10648,-732,-847,-579,3811,10404,11856,-2980
squatturnclap,-12268,-10508,-832,-886,-607,3887,10264,11764,-2896
squatturnclap,-12248,-10448,-824,-899,-600,3963,10308,11652,-2536
squatturnclap,-12168,-10384,-760,-935,-586,3999,9968,11628,-2588
squatturnclap,-12020,-10200,-748,-956,-553,4042,9932,11516,-2532
squatturnclap,-11992,-10212,-556,-963,-510,4016,10068,11588,-2356
squatturnclap,-11920,-10024,-448,-1008,-438,3994,9816,11708,-2504
squatturnclap,-11848,-10020,-724,-989,-382,3961,9856,11732,-2496
squatturnclap,-11736,-9912,-656,-997,-360,3919,10080,11752,-2748
squatturnclap,-11672,-9840,-548,-980,-348,3886,10804,11792,-3016
squatturnclap,-11692,-9808,-552,-982,-440,3882,11304,11992,-2668
squatturnclap,-11604,-9760,-400,-983,-352,3807,11356,11792,-2720
squatturnclap,-11552,-9616,-248,-954,-383,3783,10932,12028,-1956
squatturnclap,-11628,-9552,-136,-1004,-388,3755,10112,12232,-2264
squatturnclap,-11524,-9476,-112,-1003,-335,3742,9524,12212,-2496
squatturnclap,-11424,-9428,-28,-1036,-397,3741,9792,11716,-2924
squatturnclap,-11268,-9396,12,-1076,-353,3718,10540,11472,-3284
squatturnclap,-11168,-9876,184,-1098,-404,3580,11560,11840,-2508
squatturnclap,-10900,-10360,292,-1139,-536,3322,12028,12332,-1160
squatturnclap,-10704,-11028,4,-1108,-800,3050,12480,12252,812
squatturnclap,-10384,-11820,-12,-1032,-953,2777,11704,11796,1888
