turnclap,-10764,-12300,4252,-1534,1439,-1351,10416,12252,-2132
turnclap,-10764,-12300,4252,-1534,1439,-1351,10416,12252,-2132
turnclap,-10820,-12032,4140,-1564,1280,-1308,9996,12416,-1880
turnclap,-10820,-12032,4140,-1564,1280,-1308,9996,12416,-1880
turnclap,-11004,-11980,4160,-1447,1231,-1051,9384,12140,-1684
turnclap,-11004,-11980,4160,-1447,1231,-1051,9384,12140,-1684
turnclap,-11080,-11892,4140,-1307,1259,-552,9048,12516,-1984
turnclap,-11116,-12108,3748,-1229,1099,-159,9228,12412,-2304
turnclap,-11116,-12108,3748,-1229,1099,-159,9228,12412,-2304
turnclap,-11412,-12164,3560,-1093,699,664,9416,12144,-1712
turnclap,-11412,-12164,3560,-1093,699,664,9416,12144,-1712
turnclap,-11680,-12180,3456,-987,130,1563,9608,12580,-920
turnclap,-11824,-12180,3260,-948,-169,1959,9228,12312,-848
turnclap,-11824,-12180,3260,-948,-169,1959,9228,12312,-848
turnclap,-12060,-12588,3240,-987,-521,2762,9828,12416,-124
turnclap,-12204,-12752,3212,-998,-739,3066,9724,12548,-192
turnclap,-12272,-12932,3000,-1044,-829,3245,9892,12628,284
turnclap,-12240,-12888,2844,-1108,-858,3459,10024,12492,604
turnclap,-12200,-12916,2740,-1155,-716,3493,10632,12276,880
turnclap,-12268,-12912,2508,-1308,-649,3511,10488,11984,1436
turnclap,-12288,-12700,2192,-1437,-499,3398,10520,11944,1776
turnclap,-12056,-12560,2000,-1557,-432,3243,10540,11736,2132
turnclap,-11996,-12376,1828,-1526,-109,2356,10356,11676,2196
turnclap,-12044,-11996,1844,-1617,188,2493,10132,11604,2092
turnclap,-11888,-11748,1744,-1962,-118,2313,10412,11552,1912
turnclap,-11836,-11572,1464,-1996,11,1917,10420,12024,1244
turnclap,-11640,-11304,1536,-2062,154,1681,10408,12408,276
turnclap,-11548,-11196,1380,-2130,84,1290,10412,12332,-400
turnclap,-11528,-11016,1744,-2194,192,914,10160,12292,-1004
turnclap,-11388,-10560,1808,-2235,218,534,10044,12224,-904
turnclap,-11132,-10284,1988,-2259,386,133,9548,12232,-956
turnclap,-11036,-10000,2200,-2277,681,-227,9344,12552,-1012
turnclap,-10980,-9692,2076,-2223,804,-521,9344,12740,-876
turnclap,-10956,-9292,2088,-2180,1021,-803,9000,12828,-836
turnclap,-10744,-9112,2248,-2111,1152,-1045,9228,13116,-568
turnclap,-10644,-8824,2368,-2066,1363,-1291,9076,13032,-504
turnclap,-10496,-8528,2412,-1996,1511,-1510,9156,12812,-420
turnclap,-10528,-8296,2520,-1958,1569,-1700,9352,12352,-620
turnclap,-10352,-7896,2464,-1895,1767,-1921,10064,12104,-832
turnclap,-10288,-7956,2324,-1790,1689,-2109,9984,11724,-948
turnclap,-10052,-7612,2680,-1726,1795,-2262,10188,11668,-1224
turnclap,-9976,-7588,2588,-1626,1588,-2359,10140,11612,-1724
turnclap,-10008,-7444,2676,-1598,1445,-2309,10172,11704,-2016
turnclap,-10092,-7652,2732,-1555,1408,-2278,9976,11756,-2112
turnclap,-10132,-7644,3184,-1547,1458,-2228,9636,11944,-2184
turnclap,-10172,-7732,3440,-1513,1493,-2172,9456,12080,-1960
turnclap,-10096,-7944,3488,-1462,1481,-2011,9092,12292,-1816
turnclap,-10208,-8172,3816,-1417,1500,-1868,9228,12572,-1496
turnclap,-10200,-8424,4092,-1379,1456,-1646,9176,12488,-1704
turnclap,-10400,-8708,4448,-1300,1560,-1482,9780,12408,-1012
turnclap,-10496,-9180,4632,-1182,1435,-1437,9560,12032,-1104
turnclap,-10640,-9316,5040,-1271,1374,-1221,9448,11688,-1276
turnclap,-10804,-9624,5256,-1266,993,-968,9760,11508,-1384
turnclap,-10948,-9784,5408,-1214,877,-797,9900,11716,-1900
turnclap,-11152,-9932,5736,-1176,545,-616,9868,11756,-2236
turnclap,-11364,-10092,5864,-1113,398,-370,9664,11828,-2744
turnclap,-11548,-10320,6068,-1046,234,-194,9888,11664,-2612
turnclap,-11688,-10468,6396,-1005,100,39,9504,11480,-2948
turnclap,-11800,-10540,6600,-944,184,208,9452,11644,-3036
turnclap,-11848,-10440,6696,-949,161,425,9708,11812,-2924
turnclap,-11964,-10388,6824,-936,170,587,9728,11916,-2688
turnclap,-12304,-10572,6680,-919,210,719,9872,12200,-2216
turnclap,-12480,-10652,7200,-912,146,948,9672,12184,-1732
turnclap,-12604,-10764,6748,-903,97,1132,9844,11816,-1308
turnclap,-12604,-10664,7064,-877,73,1336,9996,11464,-916
turnclap,-12660,-10732,7076,-848,37,1497,10276,11344,-476
turnclap,-12728,-10768,7012,-813,-2,1722,10216,10960,-684
turnclap,-12704,-10696,6992,-803,-132,1955,10368,11032,-524
turnclap,-12720,-10796,7028,-841,-351,2166,10196,10984,-1212
turnclap,-12648,-10836,7008,-859,-598,2434,10396,11152,-1596
turnclap,-12668,-10996,6880,-867,-845,2726,10428,11280,-2008
turnclap,-12816,-10884,6948,-853,-1024,2998,10616,11224,-2356
turnclap,-12652,-10880,6952,-867,-1156,3245,10828,11516,-2588
turnclap,-12604,-10768,6772,-858,-1237,3528,10944,11752,-2656
turnclap,-12600,-10964,6608,-880,-1259,3758,10820,11616,-2556
turnclap,-12472,-10796,6428,-850,-1299,3961,10556,11412,-2276
turnclap,-12196,-11172,6360,-839,-1309,4107,10468,11632,-1976
turnclap,-12196,-11376,6204,-792,-1420,4314,10244,11460,-1648
turnclap,-12052,-11232,6060,-787,-1470,4397,10148,11728,-1332
turnclap,-11844,-11316,5856,-729,-1586,4562,10188,11696,-888
turnclap,-11892,-11296,5776,-692,-1648,4691,10208,11640,-628
turnclap,-11840,-11276,5524,-660,-1761,4846,10216,11200,-600
turnclap,-11580,-11196,5424,-652,-1832,5009,9936,10980,-1092
turnclap,-11612,-11208,4904,-670,-1914,5188,10204,10852,-1104
turnclap,-11532,-11088,4676,-677,-2004,5301,10064,11068,-1588
turnclap,-11608,-11008,4528,-691,-2042,5399,9928,11152,-2272
turnclap,-11620,-11080,4344,-676,-2108,5507,9860,11444,-2684
turnclap,-11760,-10916,4036,-721,-2122,5586,10364,11484,-2728
turnclap,-11936,-10928,3940,-738,-2084,5701,10216,11264,-2760
turnclap,-11756,-10856,3780,-773,-1975,5800,10552,11076,-2356
turnclap,-11768,-10984,3620,-806,-1805,5905,10412,11084,-2192
turnclap,-11684,-10700,3448,-845,-1673,6046,10564,11136,-1836
turnclap,-11612,-10708,3172,-917,-1584,6124,10556,11304,-1500
turnclap,-11532,-10824,3212,-944,-1443,6221,10644,11248,-1380
turnclap,-11468,-10804,2984,-1004,-1320,6246,11092,11740,-1124
turnclap,-11368,-10808,3020,-1026,-1316,6240,11120,11792,-932
turnclap,-11324,-10820,2968,-1027,-1266,6198,11132,11688,-1012
turnclap,-11260,-10932,2816,-1038,-1305,6140,10844,11484,-960
turnclap,-11104,-10972,2624,-1037,-1381,6045,10964,11196,-880
turnclap,-11048,-11032,2672,-1034,-1389,5952,10724,10944,-884
turnclap,-11032,-11092,2580,-1063,-1369,5778,10908,10944,-568
turnclap,-10968,-11276,2432,-1001,-1402,5540,10900,11112,-200
turnclap,-10968,-11328,2624,-927,-1363,5324,10852,11196,248
turnclap,-10816,-11372,2384,-877,-1299,5157,11484,11492,656
turnclap,-10704,-11336,2436,-855,-1222,4961,11384,11128,756
turnclap,-10636,-11408,2168,-818,-1119,4717,11780,11220,1092
turnclap,-10376,-11480,2120,-883,-1041,4445,11500,10900,620
turnclap,-10196,-11520,2132,-916,-941,4027,11628,10708,316
turnclap,-10060,-11476,2036,-1016,-849,3590,11344,10544,-240
turnclap,-10024,-11580,2004,-1095,-726,3114,11408,10512,-920
turnclap,-9888,-11620,1956,-1201,-673,2626,11432,10460,-1272
turnclap,-9912,-11676,1952,-1262,-583,2118,11060,10308,-1904
turnclap,-9792,-11772,1964,-1312,-478,1605,11180,10864,-2040
turnclap,-9952,-11928,1936,-1318,-493,1062,11076,11068,-2108
turnclap,-9980,-11952,2000,-1337,-269,456,11172,11516,-2040
turnclap,-10012,-12128,2120,-1292,-62,-14,11124,11456,-2064
turnclap,-10172,-12136,2100,-1314,-55,-601,11036,11492,-1580
turnclap,-10236,-12348,2372,-1233,322,-1077,11056,11004,-1232
turnclap,-10304,-12600,2472,-1243,541,-1477,11236,11000,-1116
turnclap,-10208,-12852,2784,-1192,883,-1877,11100,11260,-876
turnclap,-10336,-13020,2768,-1158,1191,-2246,10984,11392,-980
turnclap,-10380,-13248,3016,-1166,1273,-2541,10996,11300,-1084
turnclap,-10380,-13364,3152,-1130,1367,-2833,11004,11392,-1288
turnclap,-10376,-13496,3384,-1113,1329,-3002,11232,11312,-1100
turnclap,-10376,-13680,3504,-1052,1273,-3171,10532,11264,-1788
turnclap,-10592,-13708,3732,-1014,1188,-3350,10336,10980,-1628
turnclap,-10776,-13720,3816,-1002,1169,-3608,9884,10348,-1556
turnclap,-10732,-13636,3796,-1047,1149,-3909,10064,10024,-1164
turnclap,-10720,-13624,3744,-1162,1127,-4250,10016,9740,-832
turnclap,-10696,-13660,3992,-1224,1106,-4544,10272,9956,-860
turnclap,-10552,-13772,4004,-1329,1093,-4757,10464,10552,-1092
turnclap,-10460,-13624,4164,-1412,1168,-4882,10312,10780,-1628
turnclap,-10596,-13012,4212,-1442,1145,-4916,10984,10908,-1696
turnclap,-10468,-12932,4044,-1481,1116,-4911,11276,10996,-2212
turnclap,-10852,-12364,3952,-1501,1120,-4968,12288,11448,-2116
turnclap,-12032,-10780,3108,-1531,924,-4744,11544,11812,-2556
turnclap,-12444,-10040,2600,-1456,775,-4371,11704,12624,-2400
turnclap,-12284,-9752,2504,-1299,382,-3706,10840,11848,-3208
