-22084,-9656,8974,-2241,-12423,5682,-23336,6776,-10782
-21908,-9444,8676,-2359,-12313,5639,-23328,7208,-10636
-19278,-9062,8444,-3831,-12234,4382,-23368,12802,-9258
-18930,-9078,8182,-3895,-12456,4279,-23108,12656,-9214
-17198,-10162,5714,-4309,-13395,3211,-20506,12512,-8778
-17466,-10048,5322,-4299,-13882,3114,-20948,12506,-8160
-20482,-10534,11744,-1617,-14553,2238,-20602,11736,-7256
-20896,-10064,12878,-1342,-14146,2065,-20602,11492,-7186
-23876,-6516,18194,1610,-13867,43,-25370,15094,136
-23800,-5292,19422,1997,-13657,-129,-26012,15910,1006
-22686,-6898,18362,5471,-14779,-2150,-25542,15520,3000
-23100,-7292,18208,6074,-14226,-2161,-25902,15726,3306
-23566,-8612,21274,13250,29284,-2420,-25374,16472,1442
-22384,-7068,21480,10987,32767,-3053,-24742,18684,3588
-16594,-7604,32767,-13448,12560,-6430,-26158,23278,6748
-16498,-7344,32767,-13812,11569,-6202,-26230,23772,6960
-18458,-6670,32767,-8654,19961,-18,-29590,32767,13510
-18314,-5888,32767,-8483,21583,457,-30618,32767,13278
-17762,480,32767,-8657,22838,2990,-22438,32767,8394
-22496,-4964,32767,-8860,20408,2991,-25258,32767,10376
-23966,1856,32767,-9063,18698,2881,-26566,32767,9868
-24178,6942,32767,-9163,18495,2847,-28460,32767,6784
-23966,1856,32767,-9063,18698,2881,-26566,32767,9868
-24178,6942,32767,-9163,18495,2847,-28460,32767,6784
-17922,-14902,32767,-2257,7373,-6367,-28358,28478,18900
-18120,-11196,32767,-2112,6954,-7300,-28416,25304,17450
-19272,-10418,32767,-3074,5662,-8264,-27706,24854,17788
-21476,-11924,32767,-2892,3657,-9095,-27338,24484,18104
-17922,-14902,32767,-2257,7373,-6367,-28358,28478,18900
-18120,-11196,32767,-2112,6954,-7300,-28416,25304,17450
-19272,-10418,32767,-3074,5662,-8264,-27706,24854,17788
-21476,-11924,32767,-2892,3657,-9095,-27338,24484,18104
-25460,-14262,31352,242,2792,-2023,-32768,30364,-3442
-25642,-14312,31206,-113,2694,-2095,-32768,29700,-3670
-25914,-13878,30926,-310,2768,-2141,-32768,29332,-3962
-25826,-13462,30798,-344,2931,-2156,-32256,28602,-4842
-26424,-12782,29714,-317,3272,-2094,-31794,28442,-5598
-19272,-10418,32767,-3074,5662,-8264,-27706,24854,17788
-21476,-11924,32767,-2892,3657,-9095,-27338,24484,18104
-25460,-14262,31352,242,2792,-2023,-32768,30364,-3442
-25642,-14312,31206,-113,2694,-2095,-32768,29700,-3670
-25914,-13878,30926,-310,2768,-2141,-32768,29332,-3962
-25826,-13462,30798,-344,2931,-2156,-32256,28602,-4842
-26424,-12782,29714,-317,3272,-2094,-31794,28442,-5598
-21676,-21860,6360,1177,-287,-1545,-21092,9086,-15166
-21194,-21856,6092,1092,-425,-1575,-20930,8038,-14818
-25460,-14262,31352,242,2792,-2023,-32768,30364,-3442
-25642,-14312,31206,-113,2694,-2095,-32768,29700,-3670
-25914,-13878,30926,-310,2768,-2141,-32768,29332,-3962
-25826,-13462,30798,-344,2931,-2156,-32256,28602,-4842
-26424,-12782,29714,-317,3272,-2094,-31794,28442,-5598
-21676,-21860,6360,1177,-287,-1545,-21092,9086,-15166
-21194,-21856,6092,1092,-425,-1575,-20930,8038,-14818
-27522,-16816,-780,-1750,-537,976,-20278,3370,-16466
-28410,-16656,-862,-1858,-604,1053,-20532,3550,-16496
-25914,-13878,30926,-310,2768,-2141,-32768,29332,-3962
-25826,-13462,30798,-344,2931,-2156,-32256,28602,-4842
-26424,-12782,29714,-317,3272,-2094,-31794,28442,-5598
-21676,-21860,6360,1177,-287,-1545,-21092,9086,-15166
-21194,-21856,6092,1092,-425,-1575,-20930,8038,-14818
-27522,-16816,-780,-1750,-537,976,-20278,3370,-16466
-28410,-16656,-862,-1858,-604,1053,-20532,3550,-16496
-27642,-8752,106,2935,44,-702,-17650,-1586,-11862
-27346,-8578,-144,3029,89,-687,-17346,-1530,-11270
-26424,-12782,29714,-317,3272,-2094,-31794,28442,-5598
-21676,-21860,6360,1177,-287,-1545,-21092,9086,-15166
-21194,-21856,6092,1092,-425,-1575,-20930,8038,-14818
-27522,-16816,-780,-1750,-537,976,-20278,3370,-16466
-28410,-16656,-862,-1858,-604,1053,-20532,3550,-16496
-27642,-8752,106,2935,44,-702,-17650,-1586,-11862
-27346,-8578,-144,3029,89,-687,-17346,-1530,-11270
-13810,16722,6668,-1996,7802,-5608,-14134,-76,4206
-13700,17310,6914,-1921,7878,-5863,-13870,-554,5366
-21194,-21856,6092,1092,-425,-1575,-20930,8038,-14818
-27522,-16816,-780,-1750,-537,976,-20278,3370,-16466
-28410,-16656,-862,-1858,-604,1053,-20532,3550,-16496
-27642,-8752,106,2935,44,-702,-17650,-1586,-11862
-27346,-8578,-144,3029,89,-687,-17346,-1530,-11270
-13810,16722,6668,-1996,7802,-5608,-14134,-76,4206
-13700,17310,6914,-1921,7878,-5863,-13870,-554,5366
9836,17156,-3100,-6783,158,-7575,88,14814,19294
11746,30208,-6922,-6077,-1013,-8628,-3736,11954,23810
-28410,-16656,-862,-1858,-604,1053,-20532,3550,-16496
-27642,-8752,106,2935,44,-702,-17650,-1586,-11862
-27346,-8578,-144,3029,89,-687,-17346,-1530,-11270
-13810,16722,6668,-1996,7802,-5608,-14134,-76,4206
-13700,17310,6914,-1921,7878,-5863,-13870,-554,5366
9836,17156,-3100,-6783,158,-7575,88,14814,19294
11746,30208,-6922,-6077,-1013,-8628,-3736,11954,23810
-7770,14400,8278,2795,-5426,3194,-7154,1314,14452
-8240,14008,7764,3358,-5612,2843,-7276,354,13034
-27346,-8578,-144,3029,89,-687,-17346,-1530,-11270
-13810,16722,6668,-1996,7802,-5608,-14134,-76,4206
-13700,17310,6914,-1921,7878,-5863,-13870,-554,5366
9836,17156,-3100,-6783,158,-7575,88,14814,19294
11746,30208,-6922,-6077,-1013,-8628,-3736,11954,23810
-7770,14400,8278,2795,-5426,3194,-7154,1314,14452
-8240,14008,7764,3358,-5612,2843,-7276,354,13034
-27102,-9388,-5736,4823,-3491,3127,-19062,1072,-13684
-26882,-12424,-6184,5052,-3465,3073,-19602,1288,-13768
-13700,17310,6914,-1921,7878,-5863,-13870,-554,5366
9836,17156,-3100,-6783,158,-7575,88,14814,19294
11746,30208,-6922,-6077,-1013,-8628,-3736,11954,23810
-7770,14400,8278,2795,-5426,3194,-7154,1314,14452
-8240,14008,7764,3358,-5612,2843,-7276,354,13034
-27102,-9388,-5736,4823,-3491,3127,-19062,1072,-13684
-26882,-12424,-6184,5052,-3465,3073,-19602,1288,-13768
-28120,-14098,1386,9958,-8506,6887,-22674,2958,-14934
-28120,-13722,1150,9901,-8538,6912,-22632,3106,-14628
11746,30208,-6922,-6077,-1013,-8628,-3736,11954,23810
-7770,14400,8278,2795,-5426,3194,-7154,1314,14452
-8240,14008,7764,3358,-5612,2843,-7276,354,13034
-27102,-9388,-5736,4823,-3491,3127,-19062,1072,-13684
-26882,-12424,-6184,5052,-3465,3073,-19602,1288,-13768
-28120,-14098,1386,9958,-8506,6887,-22674,2958,-14934
-28120,-13722,1150,9901,-8538,6912,-22632,3106,-14628
-25810,-11058,9540,-1008,-11457,6885,-22490,7530,-11864
-26010,-11328,7866,-1374,-12127,6851,-22562,7710,-11938
-8240,14008,7764,3358,-5612,2843,-7276,354,13034
-27102,-9388,-5736,4823,-3491,3127,-19062,1072,-13684
-26882,-12424,-6184,5052,-3465,3073,-19602,1288,-13768
-28120,-14098,1386,9958,-8506,6887,-22674,2958,-14934
-28120,-13722,1150,9901,-8538,6912,-22632,3106,-14628
-25810,-11058,9540,-1008,-11457,6885,-22490,7530,-11864
-26010,-11328,7866,-1374,-12127,6851,-22562,7710,-11938
-23170,-10370,24036,-3656,18457,-2460,-29428,22160,-2634
-23030,-10852,25326,-4181,18020,-2928,-29426,22734,-2656
-26882,-12424,-6184,5052,-3465,3073,-19602,1288,-13768
-28120,-14098,1386,9958,-8506,6887,-22674,2958,-14934
-28120,-13722,1150,9901,-8538,6912,-22632,3106,-14628
-25810,-11058,9540,-1008,-11457,6885,-22490,7530,-11864
-26010,-11328,7866,-1374,-12127,6851,-22562,7710,-11938
-23170,-10370,24036,-3656,18457,-2460,-29428,22160,-2634
-23030,-10852,25326,-4181,18020,-2928,-29426,22734,-2656
-4474,-2148,21676,-13134,10471,-4383,-29504,32767,24878
-5558,-7878,25556,-12593,10512,-5020,-26500,32767,19120
-28120,-13722,1150,9901,-8538,6912,-22632,3106,-14628
-25810,-11058,9540,-1008,-11457,6885,-22490,7530,-11864
-26010,-11328,7866,-1374,-12127,6851,-22562,7710,-11938
-23170,-10370,24036,-3656,18457,-2460,-29428,22160,-2634
-23030,-10852,25326,-4181,18020,-2928,-29426,22734,-2656
-4474,-2148,21676,-13134,10471,-4383,-29504,32767,24878
-5558,-7878,25556,-12593,10512,-5020,-26500,32767,19120
-23846,-13812,20728,-1739,4180,-1589,-27842,19842,-10954
-23944,-13600,20542,-1939,3962,-1682,-27368,19578,-11192
-26010,-11328,7866,-1374,-12127,6851,-22562,7710,-11938
-23170,-10370,24036,-3656,18457,-2460,-29428,22160,-2634
-23030,-10852,25326,-4181,18020,-2928,-29426,22734,-2656
-4474,-2148,21676,-13134,10471,-4383,-29504,32767,24878
-5558,-7878,25556,-12593,10512,-5020,-26500,32767,19120
-23846,-13812,20728,-1739,4180,-1589,-27842,19842,-10954
-23944,-13600,20542,-1939,3962,-1682,-27368,19578,-11192
-18660,-17264,7544,1265,-710,-1324,-20550,7346,-16114
-18730,-17094,7334,1192,-745,-1376,-20360,7176,-16196
-23030,-10852,25326,-4181,18020,-2928,-29426,22734,-2656
-4474,-2148,21676,-13134,10471,-4383,-29504,32767,24878
-5558,-7878,25556,-12593,10512,-5020,-26500,32767,19120
-23846,-13812,20728,-1739,4180,-1589,-27842,19842,-10954
-23944,-13600,20542,-1939,3962,-1682,-27368,19578,-11192
-18660,-17264,7544,1265,-710,-1324,-20550,7346,-16114
-18730,-17094,7334,1192,-745,-1376,-20360,7176,-16196
-23652,-14934,3190,-1260,-736,903,-20036,3362,-14784
-23352,-15292,3928,-1161,-806,962,-19988,2962,-15068
-5558,-7878,25556,-12593,10512,-5020,-26500,32767,19120
-23846,-13812,20728,-1739,4180,-1589,-27842,19842,-10954
-23944,-13600,20542,-1939,3962,-1682,-27368,19578,-11192
-18660,-17264,7544,1265,-710,-1324,-20550,7346,-16114
-18730,-17094,7334,1192,-745,-1376,-20360,7176,-16196
-23652,-14934,3190,-1260,-736,903,-20036,3362,-14784
-23352,-15292,3928,-1161,-806,962,-19988,2962,-15068
-22744,-8568,-2078,-152,970,229,-17086,-636,-11398
-22120,-8292,-1398,-126,1111,158,-17138,-618,-11302
-23944,-13600,20542,-1939,3962,-1682,-27368,19578,-11192
-18660,-17264,7544,1265,-710,-1324,-20550,7346,-16114
-18730,-17094,7334,1192,-745,-1376,-20360,7176,-16196
-23652,-14934,3190,-1260,-736,903,-20036,3362,-14784
-23352,-15292,3928,-1161,-806,962,-19988,2962,-15068
-22744,-8568,-2078,-152,970,229,-17086,-636,-11398
